task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,category,type,value,additionals,max_rank
vbs23-kis-v-m2,vitrivr-VR,1,1673271415768,170406,269657.0,inf,inf,inf,mlclip,TEXT,a diver in the corals,,
vbs23-kis-v-m2,vitrivr-VR,1,1673271483762,238400,269657.0,829.0,1360.0,1360.0,mlclip,TEXT,a diver in the corals,,
vbs23-kis-v-m2,vitrivr-VR,0,1673271487372,242010,269657.0,29.0,29.0,29.0,mlclip,TEXT,a diver with bubbles near a cliff,,
vbs23-kis-v-m3,vitrivr-VR,0,1673271650647,31990,62446.0,199.0,739.0,739.0,mlclip,TEXT,a mora in the corals,,
vbs23-kis-v-m3,vitrivr-VR,0,1673271662179,43522,62446.0,576.0,1963.0,1963.0,mlclip,TEXT,a mora in the  white rocks,,
vbs23-kis-v-m3,vitrivr-VR,1,1673271663710,45053,62446.0,49.0,135.0,135.0,mlclip,TEXT,white corals and sea snake,,
vbs23-kis-v-m4,vitrivr-VR,1,1673272404704,36519,265021.0,2799.0,2799.0,2799.0,mlclip,TEXT,a school of fish in the flat corrals,,
vbs23-kis-v-m4,vitrivr-VR,0,1673272406171,37986,265021.0,764.0,1201.0,1201.0,mlclip,TEXT,flat reddish  corals and a group of fish,,
vbs23-kis-v-m4,vitrivr-VR,1,1673272426063,57878,265021.0,3419.0,3419.0,3419.0,mlclip,TEXT,a small school of fish in the flat corrals,,
vbs23-kis-v-m4,vitrivr-VR,0,1673272439088,70903,265021.0,323.0,1872.0,1872.0,mlclip,TEXT,flat  corals and a group of fish,,
vbs23-kis-v-m4,vitrivr-VR,0,1673272448555,80370,265021.0,323.0,1872.0,1872.0,mlclip,TEXT,flat  corals and a group of fish,,
vbs23-kis-v-m4,vitrivr-VR,0,1673272587997,219812,265021.0,171.0,1447.0,1447.0,mlclip,TEXT,flat  corals and a group of small black fish,,
vbs23-kis-v-m5,vitrivr-VR,1,1673272780662,32372,102101.0,1125.0,1125.0,1125.0,mlclip,TEXT,a diver under the water,,
vbs23-kis-v-m5,vitrivr-VR,0,1673272790077,41787,102101.0,1420.0,1420.0,1420.0,mlclip,TEXT,a diver looking up,,
vbs23-kis-v-m5,vitrivr-VR,0,1673272819252,70962,102101.0,546.0,546.0,546.0,mlclip,TEXT,a diver leaning back,,
vbs23-kis-v-m7,vitrivr-VR,0,1673273138470,21102,25607.0,1.0,1.0,1.0,mlclip,TEXT,a star fish a cone of light,,
vbs23-kis-v2,vitrivr-VR,0,1673276030943,39795,96723.0,409.0,inf,inf,mlclip,TEXT, brown haired woman in front of a lamp,,
vbs23-kis-v2,vitrivr-VR,1,1673276035483,44335,96723.0,143.0,inf,inf,mlclip,TEXT,woman applying hairspray,,
vbs23-kis-v2,vitrivr-VR,0,1673276057491,66343,96723.0,603.0,inf,inf,mlclip,TEXT, brown haired woman in front of a yellow lamp,,
vbs23-kis-v2,vitrivr-VR,0,1673276087410,96262,96723.0,1403.0,inf,inf,mlclip,TEXT,smiling woman in front of a yellow lamp,,
vbs23-kis-v3,vitrivr-VR,0,1673276437954,36083,39212.0,37.0,inf,inf,mlclip,TEXT,a woman with a surgical face masks,,
vbs23-kis-v3,vitrivr-VR,1,1673276439988,38117,39212.0,32.0,inf,inf,mlclip,TEXT, woman wearing out white mask,,
vbs23-kis-v4,vitrivr-VR,0,1673277195346,23133,126341.0,22.0,inf,inf,mlclip,TEXT,a group of children clapping,,
vbs23-kis-v4,vitrivr-VR,1,1673277214954,42741,126341.0,84.0,inf,inf,mlclip,TEXT, group of children on stage,,
vbs23-kis-v4,vitrivr-VR,0,1673277232649,60436,126341.0,30.0,inf,inf,mlclip,TEXT,a group of children clapping vertically,,
vbs23-kis-v4,vitrivr-VR,0,1673277295876,123663,126341.0,3.0,inf,inf,mlclip,TEXT,children on a colorful stage moving their hands,,
vbs23-kis-t7,vitrivr-VR,0,1673277570696,44162,87601.0,2.0,inf,inf,mlclip,TEXT,the bearded man in the cyan shirt climbing boulder,,
vbs23-kis-t7,vitrivr-VR,1,1673277585804,59270,87601.0,7.0,inf,inf,mlclip,TEXT,beardedman in a blue  shirt climbing,,
vbs23-kis-v5,vitrivr-VR,0,1673278572434,31193,47140.0,37.0,inf,inf,mlclip,TEXT,aerial shot of river in white sand,,
vbs23-kis-v5,vitrivr-VR,1,1673278587109,45868,47140.0,146.0,inf,inf,mlclip,TEXT,riverbed and white ,,
